Sale_Date,Client_ID,Product_ID,Quantity,Unit_Price,Revenue
1/1/2025,1092,2,1,400,
1/1/2025,1020,2,3,400,
1/1/2025,1074,2,1,400,
1/1/2025,1099,1,3,900,
1/1/2025,1052,5,2,500,
1/1/2025,1037,1,1,900,
1/1/2025,1057,2,1,400,
1/1/2025,1048,2,3,400,
1/1/2025,1014,2,3,400,
1/1/2025,1050,2,1,400,
1/1/2025,1050,2,1,400,
1/1/2025,1017,5,2,500,
1/1/2025,1008,1,2,900,
1/1/2025,1083,2,3,400,
1/1/2025,1007,1,2,900,
1/1/2025,1080,2,2,400,
2/1/2025,1053,2,2,400,
2/1/2025,1043,5,2,500,
2/1/2025,1013,3,3,600,
2/1/2025,1039,4,1,750,
2/1/2025,1081,2,2,400,
2/1/2025,1123,2,1,400,
2/1/2025,1014,2,1,400,
2/1/2025,1070,2,1,400,
2/1/2025,1062,4,1,750,
2/1/2025,1032,2,2,400,
2/1/2025,1040,4,1,750,
2/1/2025,1071,2,1,400,
2/1/2025,1047,2,2,400,
2/1/2025,1036,3,2,600,
2/1/2025,1034,2,1,400,
3/1/2025,1000,3,3,600,
3/1/2025,1102,1,3,900,
3/1/2025,1014,1,1,900,
3/1/2025,1062,4,1,750,
3/1/2025,1051,2,2,400,
3/1/2025,1028,2,3,400,
3/1/2025,1085,4,2,750,
3/1/2025,1044,2,1,400,
3/1/2025,1027,4,2,750,
3/1/2025,1074,2,3,400,
3/1/2025,1091,2,2,400,
3/1/2025,1128,2,2,400,
4/1/2025,1115,2,3,400,
4/1/2025,1102,2,3,400,
4/1/2025,1061,2,3,400,
4/1/2025,1058,2,1,400,
4/1/2025,1112,1,2,900,
4/1/2025,1051,2,3,400,
4/1/2025,1112,1,1,900,
4/1/2025,1112,5,2,500,
4/1/2025,1086,2,1,400,
4/1/2025,1128,2,2,400,
4/1/2025,1052,2,2,400,
4/1/2025,1067,1,3,900,
4/1/2025,1037,2,2,400,
4/1/2025,1096,2,3,400,
4/1/2025,1069,2,3,400,
4/1/2025,1089,2,3,400,
4/1/2025,1095,1,1,900,
4/1/2025,1127,2,1,400,
5/1/2025,1041,2,2,400,
5/1/2025,1111,2,1,400,
5/1/2025,1001,5,2,500,
5/1/2025,1036,4,3,750,
5/1/2025,1008,2,3,400,
5/1/2025,1047,4,2,750,
5/1/2025,1119,4,3,750,
5/1/2025,1112,2,2,400,
5/1/2025,1103,2,3,400,
5/1/2025,1111,1,3,900,
5/1/2025,1092,2,2,400,
